,SE1,SE2,SE3,SE4
2000-01-01 00:00:00+00:00,248367.512,466054.477,764836.097,437724.342
2000-01-01 01:00:00+00:00,238104.265,449537.397,656174.814,427607.047
2000-01-01 02:00:00+00:00,228781.771,497112.675,588884.484,386638.395
2000-01-01 03:00:00+00:00,218608.491,588583.537,536230.328,365970.47
2000-01-01 04:00:00+00:00,187179.221,639385.54,477091.549,360579.635
2000-01-01 05:00:00+00:00,178331.932,658080.024,444330.346,361413.642
2000-01-01 06:00:00+00:00,173550.617,691157.244,407432.569,451553.741
2000-01-01 07:00:00+00:00,166645.19,712801.652,419465.505,618177.897
2000-01-01 08:00:00+00:00,170209.444,704057.708,393626.63,789242.033
2000-01-01 09:00:00+00:00,167185.108,661584.652,351400.845,904226.233
2000-01-01 10:00:00+00:00,124481.37,620590.25,298575.716,1089193.511
2000-01-01 11:00:00+00:00,107626.047,598610.052,291526.181,1203802.877
2000-01-01 12:00:00+00:00,93693.984,544502.444,360682.62,1147673.011
2000-01-01 13:00:00+00:00,78974.196,504041.862,416771.131,1190254.851
2000-01-01 14:00:00+00:00,66532.664,437626.233,457116.045,1209779.418
2000-01-01 15:00:00+00:00,65762.168,396603.157,430642.385,1250196.62
2000-01-01 16:00:00+00:00,74136.799,368932.448,417597.038,1281472.958
2000-01-01 17:00:00+00:00,84390.178,322128.705,429643.864,1226532.765
2000-01-01 18:00:00+00:00,84788.43,326776.071,473202.621,1228851.175
2000-01-01 19:00:00+00:00,78413.883,298899.241,529825.313,1175229.727
2000-01-01 20:00:00+00:00,68274.351,242113.592,620453.751,1068953.71
2000-01-01 21:00:00+00:00,56531.933,225718.988,666672.731,1013411.676
2000-01-01 22:00:00+00:00,49801.273,220058.336,735013.699,940036.244
2000-01-01 23:00:00+00:00,46564.564,212059.49,852692.972,863029.253
2000-01-02 00:00:00+00:00,36136.513,204681.793,862699.965,781290.964
2000-01-02 01:00:00+00:00,30635.627,208731.904,896127.619,768150.555
2000-01-02 02:00:00+00:00,25279.215,192556.868,851959.289,798162.714
2000-01-02 03:00:00+00:00,22796.707,171170.877,838325.859,800675.429
2000-01-02 04:00:00+00:00,22872.454,171038.259,889326.25,746950.862
2000-01-02 05:00:00+00:00,19248.904,161777.719,875964.446,704117.013
2000-01-02 06:00:00+00:00,17341.14,173888.771,874039.101,645160.584
2000-01-02 07:00:00+00:00,15179.802,154217.039,878066.884,607663.75
2000-01-02 08:00:00+00:00,18763.004,149270.824,881459.658,527553.208
2000-01-02 09:00:00+00:00,21874.517,130547.07,850625.115,464886.376
2000-01-02 10:00:00+00:00,21131.036,141721.99,723941.094,432930.014
2000-01-02 11:00:00+00:00,21395.09,133519.091,596297.07,404327.809
2000-01-02 12:00:00+00:00,22063.948,132871.054,555040.189,420386.81
2000-01-02 13:00:00+00:00,24354.15,158017.102,541683.935,402619.11
2000-01-02 14:00:00+00:00,28001.85,169967.126,514205.738,373682.692
2000-01-02 15:00:00+00:00,35283.885,199303.404,566645.161,390295.376
2000-01-02 16:00:00+00:00,44112.45,214624.481,603224.736,435747.677
2000-01-02 17:00:00+00:00,45390.0,220019.166,601262.648,417654.659
2000-01-02 18:00:00+00:00,44596.95,251654.321,539838.033,313173.166
2000-01-02 19:00:00+00:00,43952.15,306991.816,480511.182,375272.925
