,Wind turbine ID,Terrain height [m],Nacelle height [m],Rotor diameter [m],Max power [MW],Price region,Installation date,Longitude,Latitude
0,1781-V-010-001,65.12,30.0,14.0,0.02,SE3,1881-12-31,14.133793111295974,59.25308804238663
1,1785-V-006-001,59.07,16.0,11.0,0.01,SE3,1881-12-31,12.802235454379547,59.38015130236439
2,1880-V-020-001,45.05,16.0,,0.02,SE3,1881-12-31,15.075021627622005,59.17846847716789
3,2321-V-002-001,413.0,,,0.02,SE2,1881-12-31,13.376852365949885,63.43756635671431
4,2321-V-001-001,413.58,,,0.1,SE2,1881-12-31,13.376547864778216,63.43698164686333
5,2284-V-010-001,79.22,17.0,11.0,0.01,SE2,1881-12-31,19.174957037619116,63.52324421041895
6,1382-V-018-001,26.22,25.0,10.0,0.05,SE4,1964-12-31,12.616258833425888,56.941628289275805
7,1407-V-002-001,5.69,19.0,12.0,0.03,SE3,1966-06-01,11.661925276336994,57.699677560774795
8,1287-V-012-001,37.12,13.0,10.0,0.02,SE4,1966-12-31,13.200391064896069,55.40580938384801
9,0980-V-065-001,21.36,23.0,17.0,0.05,SE3,1969-12-09,18.77495871385028,57.79237632933727
10,1471-V-007-001,122.75,25.0,20.0,0.09,SE3,1971-02-16,13.536623879858046,58.459215306280356
11,1381-V-006-001,140.8,,,0.05,SE4,1972-01-01,13.282558312490442,56.606981431810546
12,1281-V-014-001,19.77,30.0,27.0,0.22,SE4,1972-02-01,13.144220669445488,55.711358176473716
13,1281-V-014-002,18.51,30.0,27.0,0.22,SE4,1972-02-01,13.144935759433118,55.710205603277124
14,0980-V-018-001,14.69,31.0,28.0,0.15,SE3,1972-02-02,18.251311234871487,57.11942200786914
15,0980-V-018-002,12.55,31.0,28.0,0.15,SE3,1972-02-03,18.249653027954803,57.11931958290156
16,1262-V-003-001,25.92,15.0,8.0,0.01,SE4,1972-02-07,13.133977906860762,55.740149010927006
17,0980-V-024-001,58.76,40.0,28.0,0.15,SE3,1972-06-04,18.55284532821575,57.64761583237787
18,0980-V-019-001,14.33,31.0,28.0,0.15,SE3,1972-06-07,18.254577758269868,57.12186668653397
19,1499-V-036-001,238.78,28.0,21.0,0.09,SE3,1972-09-30,13.616133220648427,58.17254065690864
20,0980-V-021-001,24.52,35.0,23.0,0.2,SE3,1973-04-04,18.881377719914756,57.423629926206736
21,1382-V-040-001,9.13,30.0,27.0,0.22,SE4,1973-07-11,12.378313713875299,56.93969620186759
22,1382-V-041-001,8.01,30.0,27.0,0.22,SE4,1973-07-11,12.37798720937187,56.94083847932147
23,1444-V-015-001,55.8,16.0,11.0,0.03,SE3,1973-08-21,12.719781797957895,58.38340369573058
24,1281-V-013-001,86.33,30.0,35.0,0.4,SE4,1974-01-16,13.30912748043771,55.6897199595876
25,1281-V-015-001,100.77,40.0,27.0,0.15,SE4,1974-01-16,13.284462912898906,55.69630465184935
26,0861-V-050-001,9.34,41.0,19.0,0.09,SE4,1974-02-24,16.39372328263296,56.91237135370362
27,1281-V-021-001,33.96,45.0,27.0,0.15,SE4,1974-04-01,13.193997074805825,55.764828668104535
28,1461-V-031-001,54.33,31.0,29.0,0.22,SE3,1974-04-07,12.453050335295426,58.73067094882438
29,1484-V-005-001,11.55,35.0,35.0,0.45,SE3,1974-06-01,11.395015483014529,58.313728236167705
30,1421-V-010-001,63.75,24.0,20.0,0.99,SE3,1974-06-22,11.690887805934727,58.20300359203245
31,1880-V-002-001,36.5,31.0,27.0,0.22,SE3,1974-06-26,15.120949145487588,59.19131210560823
32,1381-V-014-001,10.02,41.0,27.0,0.15,SE4,1974-07-02,12.984796426322342,56.434993517056746
33,0381-V-008-001,17.14,30.0,26.0,0.25,SE3,1974-08-10,17.176559976771127,59.520194531054166
34,0980-V-022-001,34.26,40.0,27.0,0.15,SE3,1974-09-03,18.43550950226143,57.552450870165856
35,0980-V-023-001,11.65,31.0,27.0,0.15,SE3,1974-10-28,18.64477026665831,57.22333159332858
36,0980-V-023-002,10.97,31.0,27.0,0.15,SE3,1974-10-28,18.648114994517776,57.22414450920807
37,1287-V-007-001,29.6,25.0,27.0,0.22,SE4,1974-12-15,13.248343796073232,55.395415955426955
38,1291-V-011-003,32.38,32.0,27.0,0.22,SE4,1975-01-01,14.345225399804457,55.5367770956474
39,1488-V-004-001,50.76,16.0,11.0,0.01,SE3,1975-01-01,12.324819239281423,58.268038892111385
40,1291-V-011-002,38.93,32.0,27.0,0.22,SE4,1975-01-01,14.343000772055996,55.53675503399396
41,1291-V-011-001,38.01,32.0,27.0,0.22,SE4,1975-01-01,14.340752459505646,55.53672813188295
42,0980-V-007-010,4.65,32.0,27.0,0.22,SE3,1975-01-20,18.216045890038746,57.06844391039314
43,0980-V-007-002,2.8,41.0,39.0,0.5,SE3,1975-02-09,18.22087514487207,57.06662618974339
44,1287-V-013-001,13.18,32.0,27.0,0.15,SE4,1975-04-22,13.243937778671954,55.36762165630012
45,0586-V-021-001,81.05,40.0,27.0,0.15,SE3,1975-05-15,15.319003709082068,58.38338766751039
46,1381-V-011-001,30.5,40.0,39.0,0.5,SE4,1975-07-10,13.044204885523204,56.53725096338115
47,0980-V-023-003,6.86,31.0,27.0,0.15,SE3,1975-07-12,18.64977163527375,57.222266534832876
48,1488-V-008-001,72.55,40.0,27.0,0.15,SE3,1975-08-19,12.432190345730042,58.22035693857868
49,1421-V-011-001,18.64,,,0.5,SE3,1975-09-23,11.48061583357827,58.08174385278506
50,1381-V-021-001,8.34,41.0,27.0,0.15,SE4,1975-10-01,12.987159753066566,56.48069733950917
51,1473-V-009-001,80.19,,,0.01,SE3,1975-11-20,13.994985495085789,58.64388428334232
52,0980-V-007-003,1.2,41.0,39.0,0.5,SE3,1975-12-20,18.224122582344958,57.06534181487646
53,0980-V-007-004,1.72,41.0,39.0,0.5,SE3,1975-12-21,18.227607147324328,57.06744844695559
54,1381-V-031-001,19.82,41.0,27.0,0.15,SE4,1976-01-22,13.006904382189093,56.54715304422384
55,1494-V-012-001,71.75,32.0,27.0,0.22,SE3,1976-02-02,12.873302748018416,58.413109765315724
56,0980-V-025-001,46.03,41.0,27.0,0.15,SE3,1976-02-29,18.44291991325386,57.75972669682763
57,1444-V-001-001,56.06,45.0,35.0,0.5,SE3,1976-04-27,12.668421920213152,58.36077584387063
58,1380-V-002-001,11.72,31.0,27.0,0.22,SE4,1976-06-22,12.931013124353129,56.632731598266474
59,1382-V-013-001,7.81,31.0,27.0,0.22,SE4,1976-09-29,12.37701872925914,56.958832723073314
60,1285-V-016-001,45.93,41.0,37.0,0.49,SE4,1976-10-11,13.291184966984908,55.78848337886418
61,1261-V-009-001,5.95,40.0,39.0,0.5,SE4,1976-10-16,12.940546837011485,55.782326914816494
62,1419-V-019-001,14.67,32.0,29.0,0.22,SE3,1976-10-20,11.565433931274516,57.94213479757698
63,0980-V-026-001,4.31,41.0,39.0,0.5,SE3,1976-11-14,18.425712129635585,57.117919776654
64,0980-V-027-001,2.39,41.0,39.0,0.5,SE3,1976-11-14,18.429718476610432,57.11806061055519
65,0980-V-030-001,2.09,41.0,37.0,0.49,SE3,1976-11-28,18.182228599494263,57.386469605117476
66,0980-V-028-001,22.06,30.0,29.0,0.22,SE3,1976-12-14,18.701149631232756,57.90274623167072
67,0381-V-013-001,24.6,,,0.22,SE3,1976-12-31,16.856012956227065,59.67020176764794
68,0840-V-100-001,1.32,42.0,37.0,0.49,SE4,1976-12-31,16.37326731093998,56.4576650714788
69,1785-V-010-001,57.35,16.0,11.0,0.01,SE3,1977-01-19,13.0537772936394,59.05487132790229
70,1427-V-003-001,38.77,41.0,39.0,0.5,SE3,1977-01-30,11.294977686224346,58.38142032265944
71,0563-V-014-001,90.14,40.0,44.0,0.6,SE3,1977-02-08,14.717273411844491,58.400118730968614
72,1415-V-010-001,89.96,40.0,27.0,0.15,SE3,1977-04-03,11.88631786870327,58.09193416225284
73,1484-V-006-001,26.54,40.0,37.0,0.5,SE3,1977-04-04,11.44751197880065,58.29423947612347
74,1278-V-002-002,149.97,40.0,39.0,0.5,SE4,1977-04-05,12.767828601601774,56.424324430743674
75,1278-V-002-001,146.91,40.0,39.0,0.5,SE4,1977-04-05,12.76488549636945,56.42524067410635
76,1427-V-004-001,34.8,39.0,39.0,0.5,SE3,1977-05-31,11.292248571761613,58.38210558023297
77,1381-V-020-001,15.52,31.0,27.0,0.15,SE4,1977-06-14,13.01591211769599,56.45885820462614
